"Id","MAE Value","ETS Method"
"137","1.24435418190197","ETS(A,N,N)"
"138","1.17918355866174","ETS(A,Ad,N)"
"139","1.03762251330562","ETS(A,Ad,N)"
"140","0.901604693376889","ETS(A,Ad,N)"
"141","0.902581285566118","ETS(A,Ad,N)"
"142","0.9307554593452","ETS(A,N,N)"
"143","0.797321124618063","ETS(A,N,N)"
"144","0.962351011897046","ETS(A,N,N)"
"145","0.922905034502651","ETS(A,N,N)"
"146","1.16228358140235","ETS(A,N,N)"
"147","0.929445560766253","ETS(A,N,N)"
"148","1.02969617226396","ETS(A,Ad,N)"
"149","1.0081529690456","ETS(A,N,N)"
"150","1.20706151509863","ETS(A,Ad,N)"
"151","1.15868579250986","ETS(A,N,N)"
"152","0.567776966307178","ETS(A,A,N)"
"153","0.520712928997383","ETS(A,A,N)"
"154","0.623153616892814","ETS(A,A,N)"
"155","0.58105779165964","ETS(A,A,N)"
"156","0.498918622296753","ETS(A,A,N)"
"157","0.475771141984792","ETS(A,A,N)"
"158","0.56629111301722","ETS(A,A,N)"
"159","0.678578093976384","ETS(A,Ad,N)"
"160","0.685150141618454","ETS(A,Ad,N)"
"161","0.694307257512455","ETS(A,Ad,N)"
"162","0.56222665096577","ETS(A,Ad,N)"
"163","0.865021532734671","ETS(A,Ad,N)"
"164","0.711927424534184","ETS(A,Ad,N)"
"165","0.662739444779949","ETS(A,A,N)"
"166","0.8523643189176","ETS(A,A,N)"
"167","0.825105884341292","ETS(A,A,N)"
"168","0.887960704758646","ETS(A,Ad,N)"
"169","0.954561866486792","ETS(A,Ad,N)"
"170","0.871944716785578","ETS(A,N,N)"
"171","0.858209474359269","ETS(A,N,A)"
"172","0.829805625390561","ETS(A,N,N)"
"173","0.899069880301521","ETS(A,N,N)"
"174","0.85538559762864","ETS(A,Ad,N)"
"175","0.7726531441497","ETS(A,N,N)"
"176","0.850340456628644","ETS(A,A,N)"
"177","0.829745548385947","ETS(A,N,N)"
"178","0.957407811040958","ETS(A,A,N)"
